specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
H2,1_F_earth,1_M_earth,200,10191.522684544218,0.4134428174763079,1.2992209038501114e-14,3.208783220084817e-06,525418191165.1734,21314810.7532618
H2,1_F_earth,1_M_earth,300,10130.005406070077,0.4109472260202446,9.571674835153698e-10,0.0092376596502726,515147758157.1279,20898166.755011413
H2,1_F_earth,1_M_earth,500,10377.471390581564,0.4209862591493314,0.0004331359175799,4.252354103423225,513625465178.5271,20836411.400333
H2,1_F_earth,1_M_earth,1000,11593.837190528588,0.4703309664102573,5.444651216028172,272.93720129722806,537085537476.6503,21788123.7881044
H2,1_F_earth,1_M_earth,2000,14947.731972328143,0.6063895075161105,356.6661207760379,1302.2084931589711,610405478298.2415,24762517.688678883
H2,1_F_earth,1_M_earth,3000,22486.32949723696,0.9122102466726766,1078.0201924941878,1718.2540042333292,755373691159.98,30643490.3583426
H2,1_F_earth,1_M_earth,4000,29760.825548762605,1.2073170954092394,1620.9925905639925,1800.3741307763023,876410546102.3264,35553631.84306155
H2,1_F_earth,1_M_earth,5000,39248.50438512091,1.5922068504370224,1922.5689767416704,1739.225523437416,1021499096198.6404,41439486.272482894
H2,1_F_earth,1_M_earth,6000,62896.806890600834,2.55155523428796,2044.4584421107284,1647.8844238642157,1290705110657.0269,52360454.271507725
H2,1_F_earth,1_M_earth,7000,83323.34061443708,3.380205075480493,2061.5234043497508,1577.1909837528742,1513125559310.9978,61383456.99663532
H2,1_F_earth,10_M_earth,200,193773.9042859746,741.9954336620109,0.0312733675538969,88.68689637562638,14600795946.150368,55909096.53079908
H2,1_F_earth,10_M_earth,300,275783.7845031248,1056.0261431144518,23.860350998826537,1825.5299124674943,15697936393.57108,60110246.34543376
H2,1_F_earth,10_M_earth,500,448816.5990875312,1718.600181493921,2433.430255312352,11842.510555665698,16594701866.37742,63544124.03056341
H2,1_F_earth,10_M_earth,1000,1383531.3491472187,5297.792533923682,22781.67806388758,22380.6848530054,20767315166.18484,79521817.34434047
H2,1_F_earth,10_M_earth,2000,5797154.30845531,22198.355557514733,28267.66673788793,18696.205227180195,29220109614.404045,111889100.77898714
H2,1_F_earth,10_M_earth,3000,19319785.95140521,73978.96537252009,24412.650608271804,15479.853539783133,43372590401.94408,166081517.23485002
H2,1_F_earth,10_M_earth,4000,44859663.51100201,171775.7899518519,21298.831196342733,13567.12908202055,60421095427.97702,231363335.8919761
H2,1_F_earth,10_M_earth,5000,104381737.57138966,399696.6099283133,19225.856119554453,12018.988836848304,87761455717.64558,336054535.48544264
H2,1_F_earth,10_M_earth,6000,227407171.51514632,870783.3155759221,17456.97132136079,11044.220949884211,127905047156.19502,489771629.8896403
H2,1_F_earth,10_M_earth,7000,429619069.7186129,1645089.3587553373,16191.82609643249,0,180796281947.72195,692301763.3494059
H2,1000_F_earth,1_M_earth,200,30496.58142098924,3152.693458923215,0,0,104174951323.1738,10769459143.186838
H2,1000_F_earth,1_M_earth,300,39861.71577620988,4120.847804358159,0,0,105047177604.88904,10859628662.684923
H2,1000_F_earth,1_M_earth,500,62660.73588281602,6477.778260520233,0,0,106818195591.37752,11042713997.547886
H2,1000_F_earth,1_M_earth,1000,159461.9720897135,16484.953162921713,0,0,115847138483.7779,11976113344.99968
H2,1000_F_earth,1_M_earth,2000,584958.2314484762,60472.15471704114,0,0,134473646572.36234,13901695409.520658
H2,1000_F_earth,1_M_earth,3000,1369723.7714570037,141600.10642478304,0,0,149126569639.331,15416493873.965698
H2,1000_F_earth,1_M_earth,4000,2435074.6069885725,251734.56917893016,0,0,159237553087.7484,16461753043.872746
H2,1000_F_earth,1_M_earth,5000,4329905.7011156725,447619.5280126227,0,0,176478826775.88995,18244131535.07957
H2,1000_F_earth,1_M_earth,6000,6495816.13290674,671528.2854126104,0,0,188796244356.43784,19517488745.21894
H2,1000_F_earth,1_M_earth,7000,10278734.4474615,1062601.0309541582,0,0,209396908087.6332,21647156228.214794
H2,1000_F_earth,10_M_earth,200,152172.83464160564,12017.660935771695,50.76441519574366,154.5151590300892,11868645377.181755,937311552.6553192
H2,1000_F_earth,10_M_earth,300,202542.5765054814,15995.548845713412,956.8679824899835,2787.4501492523905,12198335687.036495,963348436.0910203
H2,1000_F_earth,10_M_earth,500,360764.1453858957,28490.90106813162,6036.2126416958745,14829.11679635864,13469200886.82515,1063713439.4906224
H2,1000_F_earth,10_M_earth,1000,1134287.7171693076,89578.96605301356,13376.163744797272,23669.47417804878,16838378093.91812,1329790031.9569054
H2,1000_F_earth,10_M_earth,2000,4821894.337319173,380803.1265928451,11891.22589065303,18907.7178296224,23673387174.42209,1869576399.3192143
H2,1000_F_earth,10_M_earth,3000,16177437.857632669,1277593.0963001924,9915.619814071371,15579.323696166532,35130601032.92346,2774395657.9232597
H2,1000_F_earth,10_M_earth,4000,37680370.00098738,2975760.5007016226,8587.660915129847,13447.00841547069,48938556870.44696,3864861849.620903
H2,1000_F_earth,10_M_earth,5000,87883186.1497954,6940465.6592681045,7686.128233734367,12013.489797142378,71090140340.0031,5614255688.242254
H2,1000_F_earth,10_M_earth,6000,191792527.5587607,15146577.059199046,7008.014322211408,0,103626075282.54938,8183740808.820684
H2,1000_F_earth,10_M_earth,7000,362757324.24968,28648309.89754407,6519.017078705519,0,146510808851.20322,11570509469.35585
H2O,1_F_earth,1_M_earth,200,45090.810862933584,1549.9627681827226,11.972734694153573,69.42871546244393,217997163613.11108,7493488821.854748
H2O,1_F_earth,1_M_earth,300,55993.40727738982,1924.7313340064288,97.45685778257966,553.024666161567,249044574619.07715,8560720264.06579
H2O,1_F_earth,1_M_earth,500,79992.00074448777,2749.6649657352004,471.665149926996,2217.6454217691157,304075036367.5472,10452351068.517529
H2O,1_F_earth,1_M_earth,1000,163963.00645863413,5636.1052397728445,1361.9521233833125,4152.925417205422,441022250989.3151,15159808747.983604
H2O,1_F_earth,1_M_earth,2000,574054.3582334766,19732.687550898216,1804.258653459029,3985.108043003057,847967514299.4124,29148246630.289818
H2O,1_F_earth,1_M_earth,3000,1720706.7254200862,59148.00173964381,2471.640690889487,3516.714408333588,1545367787036.6765,53120857381.27135
H2O,1_F_earth,1_M_earth,4000,4710342.4553784905,161914.48526885192,4011.634199670963,3304.4157567940856,2757422743426.236,94784336468.0816
