file,T_inf,weighted_mass_loss_kg_s,species,Mdot_kg_s,lambda_j,v_th_m_s,effusion_velocity_m_s,n_exo_m3,exobase_altitude_km,exobase_radius_m,T_exo_K,exobase_index,jeans_valid,escape_regime,atmosphere_type,mass_case,flux_case
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,OH,1.0663227156284357e-123,286.54975753200284,538.460242631626,1.560569912028683e-120,41843208.865708135,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,H2,1.1890280880877623e-09,33.711736180235626,1569.86788603587,3.5149043509524484e-11,17608285816357.73,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,H2O,6.475939004963667e-127,303.4056256221207,523.2892953452899,7.677160264683422e-128,487863255766.68054,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,H,6.363807288165339e-07,16.855868090117813,2220.1284555659076,0.0005347411933841646,1238915968.8929327,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,O,1.1189279482845337e-117,269.693889441885,555.0321138914769,3.1668219357843106e-113,2298936.4521628283,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,C,7.48253563990333e-89,202.2704170814138,640.8958807282625,5.252072781431674e-84,1235962.4720993324,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,CH4,1.970196766861025e-111,269.693889441885,555.0321138914769,3.1668219357843106e-113,4047943544724.4575,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,CO,6.009476922724174e-200,471.9643065232988,419.5648408603789,5.9776233134533235e-201,373782159198.3885,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,CO2,3.12896e-318,741.6581959651838,334.69695788651524,5.54294e-318,13355970003.085373,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,O2,2.5004488079072414e-238,539.38777888377,392.4669715089675,3.340163496776595e-230,243.53912190621975,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,N,5.749367571325608e-107,235.9821532616494,593.3542882396572,1.2962172760365547e-98,329.8243429796397,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,NO,5.447170975707074e-226,505.6760427035344,405.3381452241845,1.4145813792430175e-215,1.3362579051915806,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,N2,3.4368423803492796e-202,471.9643065232988,419.5648408603789,5.9776233134533235e-201,2137674180.7490678,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,NH3,6.063516089744263e-122,286.54975753200284,538.460242631626,1.560569912028683e-120,2379363831.279008,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,NO2,0.0,775.3699321454196,327.340082403788,0.0,1.0852323844427386e-13,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,N2O,0.0,741.6581959651838,334.69695788651524,5.54294e-318,0.0024161811804325997,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,H2S,4.084872804058752e-244,573.0995150640057,380.74888896417644,7.8716163480393e-245,158892783782.4201,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,S,8.293743468267222e-232,539.38777888377,392.4669715089675,3.340163496776595e-230,807795382.6488314,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,S2,0.0,1078.77555776754,277.51605694573846,0.0,620756000.3656397,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,300,9.571674835153698e-10,SO2,0.0,1078.77555776754,277.51605694573846,0.0,17062.304635090182,3283.5122798833363,9595139.226083336,296.4094368308889,340,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,OH,4.5542154678795435e-73,169.20560951711715,692.780011104615,1.0886838117651312e-69,24475276.439382505,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,H2,0.0005582973899828982,19.906542296131427,2019.7834592307015,2.69575623078355e-05,10299584440623.658,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
