file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index
CO2_atmosphere_1_M_earth_1000_F_earth.csv,2000,CO2,1_M_earth,1000_F_earth,0.103417057983779,H,3.3317319864089603,14.671770082680764,True,1947.298980022902,1079.6029468616862,7389111.749661686,316
CO2_atmosphere_1_M_earth_1000_F_earth.csv,3000,CO2,1_M_earth,1000_F_earth,0.19388438078095646,H,2.207182712474116,27.506308237771673,True,2908.402845970511,1158.4529063750124,7467961.709175012,317
CO2_atmosphere_1_M_earth_1000_F_earth.csv,5000,CO2,1_M_earth,1000_F_earth,0.2756128554382393,H,1.2993660765839148,37.70679119600961,False,4835.426656783584,1320.5626478753873,7630071.450675387,320
CO2_atmosphere_1_M_earth_1000_F_earth.csv,6000,CO2,1_M_earth,1000_F_earth,0.3966687810237026,H,1.0718517722319347,39.149869446774716,False,5799.743705393346,1402.2137564826066,7711722.5592826065,321
CO2_atmosphere_1_M_earth_1000_F_earth.csv,7000,CO2,1_M_earth,1000_F_earth,0.9927149419860866,H,0.9084946723201471,38.90695008491782,False,6767.769932227822,1487.4808511009608,7796989.65390096,323
N2_atmosphere_1_M_earth_1_F_earth.csv,200,N2,1_M_earth,1_F_earth,4.153491774533436e-12,H,35.32393611731992,5.3415889975321254e-11,True,198.8357431177655,518.1188039554088,6825457.0058554085,285
N2_atmosphere_1_M_earth_1_F_earth.csv,300,N2,1_M_earth,1_F_earth,2.0552248234119703e-07,H,23.93078338158406,2.643117381742129e-06,True,293.0984788194981,527.4459335093703,6834784.13540937,286
N2_atmosphere_1_M_earth_1_F_earth.csv,500,N2,1_M_earth,1_F_earth,0.0012204062760190486,H,14.525083279747905,0.015695008177149396,True,481.59594351866156,545.868508488737,6853206.710388737,286
N2_atmosphere_1_M_earth_1_F_earth.csv,1000,N2,1_M_earth,1_F_earth,0.6422652124738116,H,7.287513277347219,8.259837694834772,True,953.4068371422002,592.4802177001285,6899818.419600128,287
N2_atmosphere_1_M_earth_1_F_earth.csv,2000,N2,1_M_earth,1_F_earth,9.969391043262961,H,3.6090120023478294,128.2111351111815,True,1899.0586171947684,687.3536454539047,6994691.8473539045,289
N2_atmosphere_1_M_earth_1_F_earth.csv,3000,N2,1_M_earth,1_F_earth,20.693742924470566,H,2.3762224651398705,266.13142748650984,True,2845.47749814422,782.7727222216726,7090110.924121672,290
N2_atmosphere_1_M_earth_1_F_earth.csv,5000,N2,1_M_earth,1_F_earth,30.221753953100084,H,1.384956894000613,388.64035197135394,False,4748.36635719219,982.4482636828134,7289786.465582813,294
N2_atmosphere_1_M_earth_1_F_earth.csv,6000,N2,1_M_earth,1_F_earth,32.05079530426268,H,1.1381832795016817,411.56130359582784,False,5699.81470623524,1082.2858457070618,7389624.047607061,295
N2_atmosphere_1_M_earth_1_F_earth.csv,7000,N2,1_M_earth,1_F_earth,32.75058061926484,H,0.9609487263524449,415.2893475432016,False,6656.647412976178,1187.107428027803,7494445.629927803,297
N2_atmosphere_1_M_earth_1000_F_earth.csv,200,N2,1_M_earth,1000_F_earth,2.112974625602182e-13,H,28.334201576807565,3.465323664473744e-10,True,225.97554283006735,1179.9209471099823,7487259.149009982,295
N2_atmosphere_1_M_earth_1000_F_earth.csv,300,N2,1_M_earth,1000_F_earth,5.67670838960096e-10,H,19.92826296370632,9.309923403928509e-07,True,320.81776625093363,1191.041472846401,7498379.674746401,295
N2_atmosphere_1_M_earth_1000_F_earth.csv,500,N2,1_M_earth,1000_F_earth,4.975590705837094e-07,H,12.486593294123917,0.0008160075378453275,True,510.50221309266624,1213.2825243192399,7520620.72621924,295
N2_atmosphere_1_M_earth_1000_F_earth.csv,1000,N2,1_M_earth,1000_F_earth,8.457739700662012e-05,H,6.424124328274242,0.1387087434820016,True,984.8971944871823,1269.5424246819018,7576880.626581902,296
N2_atmosphere_1_M_earth_1000_F_earth.csv,2000,N2,1_M_earth,1000_F_earth,0.000842661577402123,H,3.2203117999165025,1.3819830440562804,True,1935.519348318605,1383.9634081642553,7691301.610064255,298
N2_atmosphere_1_M_earth_1000_F_earth.csv,3000,N2,1_M_earth,1000_F_earth,0.001523667513739742,H,2.125528025245209,2.4986006040838515,True,2888.51146834626,1500.9233258838626,7808261.527783862,300
N2_atmosphere_1_M_earth_1000_F_earth.csv,5000,N2,1_M_earth,1000_F_earth,0.018772199898191858,H,1.2403759787019042,3.354326570683687,False,4801.267901668192,1742.4785904072382,8049816.792307238,304
N2_atmosphere_1_M_earth_1000_F_earth.csv,6000,N2,1_M_earth,1000_F_earth,0.28763131238111306,H,1.018999542275517,3.491671554979936,False,5757.958857246322,1863.2389733359869,8170577.175235987,305
N2_atmosphere_1_M_earth_1000_F_earth.csv,7000,N2,1_M_earth,1000_F_earth,2.092320714964461,H,0.8599148884694303,3.4857005788135553,False,6719.139628793972,1989.7584329285053,8297096.634828505,307
