file,T_inf,atmosphere_type,mass_case,flux_case,weighted_mass_loss_kg_s,M_total_kg_s,dominant_escaping_species,dominant_lambda_j,dominant_species_Mdot_kg_s,jeans_valid,T_exo_K,exobase_altitude_km,exobase_radius_m,exobase_index,unphysical_extension
H2O_atmosphere_1_M_earth_1000_F_earth.csv,1000,H2O,1_M_earth,1000_F_earth,63.535855551297864,132.9573146320919,H,6.102776939027397,132.9573146320919,True,985.8276328053805,1656.548795898214,7968306.880298214,312.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,2000,H2O,1_M_earth,1000_F_earth,561.2546935804227,1174.5008583832087,H,3.0277592856413547,1174.5008583832036,True,1944.9678388983657,1828.9234650915619,8140681.549491562,314.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,3000,H2O,1_M_earth,1000_F_earth,962.3083491417118,2013.7595202885122,H,1.9821399339703614,2013.7595195242827,True,2907.1949246659833,2007.5282511016064,8319286.335501607,317.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,4000,H2O,1_M_earth,1000_F_earth,1156.8764228975076,2420.9196188656974,H,1.4559798723003186,2420.9193213359995,False,3872.1806989072447,2191.4645128217267,8503222.597221727,320.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,5000,H2O,1_M_earth,1000_F_earth,1249.9988390720525,2615.7991261775214,H,1.1405717006833436,2615.787397476297,False,4837.829247314864,2376.2738323313015,8688031.916731302,322.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,6000,H2O,1_M_earth,1000_F_earth,1264.7987286714047,2646.8476165623583,H,0.9294020124256213,2646.696585998969,False,5807.530048894498,2570.010660080848,8881768.744480848,325.0,False
H2O_atmosphere_1_M_earth_1000_F_earth.csv,7000,H2O,1_M_earth,1000_F_earth,1249.9616199401225,2616.1576888729132,H,0.7786881499978304,2615.1607495992453,False,6779.593238552982,2769.1092659758665,9080867.350375867,328.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,200,H2O,10_M_earth,1_F_earth,0.1107283082407634,0.1617499850353209,H,16.831925874830233,0.1617499850353209,True,199.9444647329141,23945.754683966934,142446354.68396693,584.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,300,H2O,10_M_earth,1_F_earth,19.437061933090543,28.39332169666973,H,11.081133722400644,28.39332169666973,True,299.8260729281036,25790.964734134704,144291564.7341347,585.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,500,H2O,10_M_earth,1_F_earth,913.0400089672178,1333.7529502029222,H,6.481379581097723,1333.7529502029222,True,499.60809780525756,29545.71768400514,148046317.68400514,589.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,1000,H2O,10_M_earth,1_F_earth,10934.933684860307,15973.560763183817,H,3.0446413050517114,15973.560763183817,True,999.1225055870303,39093.392696762174,157593992.69676217,596.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,2000,H2O,10_M_earth,1_F_earth,24534.84489554801,35840.07493064838,H,1.3512401120320874,35840.07384350357,False,1998.3941160866752,59033.124400830566,177533724.40083057,610.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,3000,H2O,10_M_earth,1_F_earth,26282.20761248175,38394.29173535054,H,0.8051852670039988,38391.17455180069,False,2997.923479993982,80098.90971282133,198599509.71282133,624.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,4000,H2O,10_M_earth,1_F_earth,25517.406783875114,37342.368961744214,H,0.5439357363485181,37218.88487309836,False,3997.586526542933,101969.18059210468,220469780.59210467,636.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,5000,H2O,10_M_earth,1_F_earth,24093.44721562565,35686.58822646574,H,0.3942755195189968,34779.619382999845,False,4997.384531194607,124804.91572623429,243305515.7262343,648.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,6000,H2O,10_M_earth,1_F_earth,23221.59502194759,35539.29293000377,H,0.2995365916414038,32551.537285533115,False,5997.2520188793005,148364.85072823768,266865450.7282377,659.0,False
H2O_atmosphere_10_M_earth_1_F_earth.csv,7000,H2O,10_M_earth,1_F_earth,23039.091341635205,37111.5319151411,H,0.23541625427703122,30726.02425394864,False,6997.161843404626,172528.33549066223,291028935.4906622,669.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,200,H2O,10_M_earth,1000_F_earth,35.33159984090757,35.335452095158395,H,9.828023626946177,35.335452095158395,True,199.98110303095467,125414.8914800095,243915491.4800095,674.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,300,H2O,10_M_earth,1000_F_earth,1323.746549507192,1323.8908794638116,H,5.492479105000571,1323.8908794638116,True,299.9549219867889,172484.0831416546,290984683.1416546,695.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,500,H2O,10_M_earth,1000_F_earth,11447.651044563523,11448.899198131348,H,2.4427976560323588,11448.899198131348,True,499.93236429167564,274050.1287784921,392550728.7784921,731.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,1000,H2O,10_M_earth,1000_F_earth,22767.09581811297,22769.582420116058,H,0.7093529169062264,22769.578146429656,False,999.9269436390731,557370.5450510363,675871145.0510362,796.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,2000,H2O,10_M_earth,1000_F_earth,18793.44244623272,18797.24939707289,H,0.18214235069384002,18795.491405782297,False,1999.9415475344351,1197530.9330969718,1316031533.0969718,876.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,3000,H2O,10_M_earth,1000_F_earth,15492.305772210497,15498.074202724427,H,0.07939695586342545,15493.994674086161,False,2999.9524465090294,1894186.732035144,2012687332.035144,927.0,False
H2O_atmosphere_10_M_earth_1000_F_earth.csv,4000,H2O,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2O_atmosphere_10_M_earth_1000_F_earth.csv,5000,H2O,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2O_atmosphere_10_M_earth_1000_F_earth.csv,6000,H2O,10_M_earth,1000_F_earth,,,,,,False,,,,,True
H2O_atmosphere_10_M_earth_1000_F_earth.csv,7000,H2O,10_M_earth,1000_F_earth,,,,,,False,,,,,True
CO2_atmosphere_1_M_earth_1_F_earth.csv,200,CO2,1_M_earth,1_F_earth,4.324211846271733e-13,1.0928800525527547e-11,H,36.27502079483728,1.0928800525527547e-11,True,199.07486462140767,329.00450560871604,6638513.308408716,304.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,300,CO2,1_M_earth,1_F_earth,3.158795745965653e-08,7.983385142961441e-07,H,24.50272268899189,7.983385142961441e-07,True,294.44918772844596,335.1123415221144,6644621.144322114,304.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,500,CO2,1_M_earth,1_F_earth,0.0002405835046701734,0.006080389272647643,H,14.842537849188846,0.006080389272647643,True,485.19783394252266,347.32801334891,6656836.81614891,304.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,1000,CO2,1_M_earth,1_F_earth,0.14726333828900864,3.721861245700689,H,7.4474068567633935,3.721861245700689,True,962.5256653559917,378.2027060926454,6687711.508892645,305.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,2000,CO2,1_M_earth,1_F_earth,2.461046883692293,62.19928956309975,H,3.703356155957719,62.19928956309971,True,1917.8256550276342,440.28218458068466,6749790.987380684,306.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,3000,CO2,1_M_earth,1_F_earth,5.18263506270811,130.9833713504913,H,2.448319745493114,130.98337128670215,True,2874.2063392305286,503.02784114621954,6812536.643946219,307.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,4000,CO2,1_M_earth,1_F_earth,6.8990235149211205,174.36198257048082,H,1.8196030390926694,174.36190371917291,True,3831.6481880180095,566.440238519608,6875949.041319608,308.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,5000,CO2,1_M_earth,1_F_earth,7.815908132474659,197.49831805114164,H,1.4420694647240406,197.4930200887447,False,4790.131984904318,630.5199303992372,6940028.733199237,309.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,6000,CO2,1_M_earth,1_F_earth,8.150457247013486,205.3915195402827,H,1.1893465030415333,205.30753403378537,False,5752.6500820196225,697.2726467093435,7006781.449509343,311.0,False
CO2_atmosphere_1_M_earth_1_F_earth.csv,7000,CO2,1_M_earth,1_F_earth,8.478315200431204,209.91712610617313,H,1.0096298376345236,209.32315419740146,False,6713.636313070701,763.0235264188713,7072532.329218871,312.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,200,CO2,1_M_earth,1000_F_earth,5.266582605261078e-12,7.471696701976013e-10,H,30.088026247247168,7.471696701976013e-10,True,219.7923485172654,939.6674742024569,7249176.277002457,314.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,300,CO2,1_M_earth,1000_F_earth,2.960143733242139e-08,4.199553643561211e-06,H,20.92574351003714,4.199553643561211e-06,True,315.6932213646992,947.3517005803772,7256860.503380377,314.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,500,CO2,1_M_earth,1000_F_earth,4.183530919900766e-05,0.005935172106787393,H,12.989596066534103,0.005935172106787393,True,507.49496705956665,962.7201533362177,7272228.956136217,314.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,1000,CO2,1_M_earth,1000_F_earth,0.009303355467080325,1.3198663264344388,H,6.64245909367879,1.3198663264344388,True,987.155691312538,1001.5518538212488,7311060.656621248,315.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,2000,CO2,1_M_earth,1000_F_earth,0.10341705798377901,14.671770082683567,H,3.3317319864089603,14.671770082680764,True,1947.298980022902,1079.6029468616862,7389111.749661686,316.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,3000,CO2,1_M_earth,1000_F_earth,0.1938843807809565,27.50630935997871,H,2.207182712474116,27.506308237771673,True,2908.402845970511,1158.4529063750124,7467961.709175012,317.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,4000,CO2,1_M_earth,1000_F_earth,0.24153571338220514,34.23563268212851,H,1.6400478452016234,34.23497644374758,True,3872.0080567483874,1239.7125414739196,7549221.344273919,319.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,5000,CO2,1_M_earth,1000_F_earth,0.2756128554382393,37.735373410789144,H,1.2993660765839148,37.70679119600961,False,4835.426656783584,1320.5626478753873,7630071.450675387,320.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,6000,CO2,1_M_earth,1000_F_earth,0.39666878102370257,39.493904950037006,H,1.0718517722319347,39.149869446774716,False,5799.743705393346,1402.2137564826066,7711722.5592826065,321.0,False
CO2_atmosphere_1_M_earth_1000_F_earth.csv,7000,CO2,1_M_earth,1000_F_earth,0.9927149419860868,40.896892356473316,H,0.9084946723201471,38.90695008491782,False,6767.769932227822,1487.4808511009608,7796989.65390096,323.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,200,CO2,10_M_earth,1_F_earth,1.2751244711138662e-05,0.0008810291698222692,H,18.724502569091076,0.0008810291698222692,True,199.90670543202992,9572.310284475088,128072910.28447509,546.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,300,CO2,10_M_earth,1_F_earth,0.003796375847516082,0.26230520525958373,H,12.43381820579567,0.26230520525958373,True,299.71775353588043,10139.967498137043,128640567.49813704,547.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,500,CO2,10_M_earth,1_F_earth,0.28314627446025264,19.563590282921368,H,7.3976715495946666,19.563590282921368,True,499.3457994036376,11276.624976879373,129777224.97687937,548.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,1000,CO2,10_M_earth,1_F_earth,4.864127359834203,336.0799817448921,H,3.620008662411514,336.0799817448908,True,998.4466727285944,14135.103595685125,132635703.59568512,550.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,2000,CO2,10_M_earth,1_F_earth,13.449221117043411,929.1844877733145,H,1.7339231874573926,929.1813522318723,True,1996.8222255517303,19959.82905684051,138460429.0568405,555.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,3000,CO2,10_M_earth,1_F_earth,16.93798783384508,1097.3593619908997,H,1.108186590559091,1094.199646488576,False,2995.4016265951623,25919.279180723875,144419879.18072388,560.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,4000,CO2,10_M_earth,1_F_earth,49.67159571858207,1191.9638960993525,H,0.7974284043029608,1101.0043798751906,False,3994.166057908493,32013.474151851296,150514074.1518513,565.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,5000,CO2,10_M_earth,1_F_earth,277.4813649978243,1716.7199593893415,H,0.612542989476021,1059.908437184633,False,4993.098238387556,38242.43250628632,156743032.50628632,570.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,6000,CO2,10_M_earth,1_F_earth,1032.5540750457455,3395.802529262897,C,5.885985212872601,1708.244985626813,True,5992.182306326644,44606.17125761682,163106771.25761682,575.0,False
CO2_atmosphere_10_M_earth_1_F_earth.csv,7000,CO2,10_M_earth,1_F_earth,2643.8140507367907,6813.744312808582,C,4.851458937829766,3759.7338831754123,True,6991.403710579176,51104.70601369834,169605306.01369834,580.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,200,CO2,10_M_earth,1000_F_earth,1.1396561168970278e-05,0.0009722791842287105,H,18.399004736599867,0.0009722791842287105,True,199.87972184981555,11855.650978444084,130356250.97844408,546.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,300,CO2,10_M_earth,1000_F_earth,0.0030512920423566847,0.2603160456738167,H,12.215050391573747,0.2603160456738167,True,299.6897614649263,12456.11136496751,130956711.36496751,547.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,500,CO2,10_M_earth,1000_F_earth,0.20908748094850935,17.837960275469737,H,7.264788384387366,17.837960275469737,True,499.3154928991732,13658.453429582372,132159053.42958237,548.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,1000,CO2,10_M_earth,1000_F_earth,3.3216525710936105,283.3814169230623,H,3.551486299524198,283.38141692305936,True,998.4304381243069,16696.374630424023,135196974.63042402,551.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,2000,CO2,10_M_earth,1000_F_earth,8.935608530491193,762.1944816566039,H,1.6982110618929316,762.1897751642397,True,1996.8161490570888,22871.979921859325,141372579.92185932,556.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,3000,CO2,10_M_earth,1000_F_earth,11.919233524656988,895.9268397958596,H,1.0836430579734526,891.757960801978,False,2995.4043027743883,29190.12652902624,147690726.52902624,561.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,4000,CO2,10_M_earth,1000_F_earth,52.79074145016504,1008.7536504601253,H,0.7786102790865345,895.9770917881573,False,3994.1762287652737,35650.83566386682,154151435.66386682,566.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,5000,CO2,10_M_earth,1000_F_earth,326.9519985672471,1647.8636759501442,H,0.5972547715754039,862.835027251127,False,4993.114779769556,42254.12680772749,160754726.8077275,571.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,6000,CO2,10_M_earth,1000_F_earth,1208.608475813563,3605.8307026734556,C,5.731564133398995,1966.277448372891,True,5992.204215490964,49000.01784347451,167500617.8434745,576.0,False
CO2_atmosphere_10_M_earth_1000_F_earth.csv,7000,CO2,10_M_earth,1000_F_earth,3046.076867343981,7485.447718475219,C,4.718356558745707,4245.827462818787,True,6991.430094824624,55888.52517793709,174389125.1779371,581.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,200,N2,1_M_earth,1_F_earth,4.153491774533436e-12,5.3415889975321254e-11,H,35.32393611731992,5.3415889975321254e-11,True,198.8357431177655,518.1188039554088,6825457.0058554085,285.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,300,N2,1_M_earth,1_F_earth,2.0552248234119705e-07,2.643117381742129e-06,H,23.93078338158406,2.643117381742129e-06,True,293.0984788194981,527.4459335093703,6834784.13540937,286.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,500,N2,1_M_earth,1_F_earth,0.0012204062760190486,0.015695008177149396,H,14.525083279747905,0.015695008177149396,True,481.59594351866156,545.868508488737,6853206.710388737,286.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,1000,N2,1_M_earth,1_F_earth,0.6422652124738116,8.259837694834772,H,7.287513277347219,8.259837694834772,True,953.4068371422002,592.4802177001285,6899818.419600128,287.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,2000,N2,1_M_earth,1_F_earth,9.969391043262961,128.2111351111815,H,3.6090120023478294,128.2111351111815,True,1899.0586171947684,687.3536454539047,6994691.8473539045,289.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,3000,N2,1_M_earth,1_F_earth,20.693742924470566,266.13142749110006,H,2.3762224651398705,266.13142748650984,True,2845.47749814422,782.7727222216726,7090110.924121672,290.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,4000,N2,1_M_earth,1_F_earth,27.05385989390322,347.92538989440095,H,1.756895239977001,347.92537279201406,True,3795.6872320023563,881.50477511938,7188842.97701938,292.0,False
N2_atmosphere_1_M_earth_1_F_earth.csv,5000,N2,1_M_earth,1_F_earth,30.221753953100077,388.64256260706594,H,1.384956894000613,388.64035197135394,False,4748.36635719219,982.4482636828134,7289786.465582813,294.0,False
