Filename,Element,Planet mass,Earth Flux,Atmospheric mass [kg],Global mass loss [kg],m/M,Radius impactor [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.580987026447355e+21,0.9797979797979799,12994619.473826904
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,4.6021668663356844e+21,0.98989898989899,13039121.942678435
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,0.0,0.0,0.0
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.51987040921049e+23,0.010101010101010102,6093118.9287337465
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,5.2544962113277734e+23,0.020202020202020204,7676848.797824547
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,8.199449460106353e+23,0.030303030303030304,8787798.156798182
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.1350302209300725e+24,0.04040404040404041,9672223.397239298
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.4702626512665392e+24,0.05050505050505051,10419086.808375191
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.825199442395485e+24,0.06060606060606061,11071931.879977398
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.1993977996923598e+24,0.07070707070707072,11655717.199115478
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.592414928532613e+24,0.08080808080808081,12186237.857467493
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.0038080342916956e+24,0.09090909090909091,12674198.115590414
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.4331343223450574e+24,0.10101010101010102,13127226.790553894
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.8799509980681474e+24,0.11111111111111112,13550975.186974889
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,4.343815266836416e+24,0.12121212121212122,13949760.03858564
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,4.8242843340253134e+24,0.13131313131313133,14326961.8935396
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,5.320915405010289e+24,0.14141414141414144,14685283.450787304
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,5.833265685166792e+24,0.15151515151515152,15026923.472374706
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,6.360892379870274e+24,0.16161616161616163,15353697.595649093
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,6.903352694496185e+24,0.17171717171717174,15667124.531144312
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,7.460203834419972e+24,0.18181818181818182,15968488.996370297
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,8.031003005017088e+24,0.19191919191919193,16258888.595292019
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,8.615307411662985e+24,0.20202020202020204,16539269.360162767
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,9.212674259733104e+24,0.21212121212121213,16810453.122048967
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,9.822660754602904e+24,0.22222222222222224,17073158.884672776
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.044482410164783e+25,0.23232323232323235,17328019.725734446
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.1078721506243336e+25,0.24242424242424243,17575596.313596364
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.172391017376487e+25,0.25252525252525254,17816387.82865805
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.2379947309587877e+25,0.26262626262626265,18050840.870712254
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.3046390119087812e+25,0.27272727272727276,18279356.78620124
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.372279580764013e+25,0.2828282828282829,18502297.743319746
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.4408721580620265e+25,0.29292929292929293,18719991.805653613
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.5103724643403683e+25,0.30303030303030304,18932737.19800425
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.5807362201365827e+25,0.31313131313131315,19140805.91544396
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.651919145988215e+25,0.32323232323232326,19344446.794478595
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.7238769624328096e+25,0.33333333333333337,19543888.140660886
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.796565390007912e+25,0.3434343434343435,19739339.988113064
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.8699401492510673e+25,0.3535353535353536,19930996.05175335
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,1.9439569606998194e+25,0.36363636363636365,20119035.421541594
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.0185715448917154e+25,0.37373737373737376,20303624.039004173
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.0937396223642983e+25,0.38383838383838387,20484915.9891041
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.1694169136551135e+25,0.393939393939394,20663054.634768102
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.245559139301707e+25,0.4040404040404041,20838173.616750382
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.3221220198416226e+25,0.4141414141414142,21010397.73776206
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.399061275812406e+25,0.42424242424242425,21179843.746740483
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.476332627751602e+25,0.43434343434343436,21346621.036631443
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.553891796196755e+25,0.4444444444444445,21510832.266998906
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.6316945016854113e+25,0.4545454545454546,21672573.92107473
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.709696464755115e+25,0.4646464646464647,21831936.805446416
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.7878534059434107e+25,0.4747474747474748,21989006.49940109
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.8661210457878437e+25,0.48484848484848486,22143863.759954795
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,2.9444551048259603e+25,0.494949494949495,22296584.88776445
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.0228113035953042e+25,0.5050505050505051,22447242.05841709
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.1011453626334203e+25,0.5151515151515152,22595903.62299554
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.179413002477854e+25,0.5252525252525253,22742634.381313067
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.2575699436661494e+25,0.5353535353535354,22887495.83077733
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.3355719067358536e+25,0.5454545454545455,23030546.39347364
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.413374612224509e+25,0.5555555555555556,23171841.623739816
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.4909337806696635e+25,0.5656565656565657,23311434.398230955
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.5682051326088583e+25,0.5757575757575758,23449375.090235937
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.645144388579642e+25,0.5858585858585859,23585711.729802523
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.7217072691195568e+25,0.595959595959596,23720490.151049994
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.79784949476615e+25,0.6060606060606061,23853754.127893236
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,5.967266408421263e+25,3.873526786056966e+25,0.6161616161616162,23985545.499266922
