Filename,Element,Planet mass,Earth Flux,Planet radius,Planet mass [kg],Atmospheric mass [kg],Height [m],Density [kg/m^3],Temperature [K],MMW [g/mol],Effective scale height h [m]
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,57850409.75494721,8.816009044240426e-07,172.69206649577407,5.343414856212497,2096597.0183104228
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,58520865.69566196,4.951992242769638e-07,169.8438884132386,5.338631932357239,2079588.3619977662
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,59182139.71407987,2.777210999698858e-07,167.09122993793636,5.327068147464956,2065672.447561699
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,59835359.46322276,1.5534108557067254e-07,164.43393972402734,5.303091715917654,2057054.2197081114
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,60482319.84893786,8.654043505035888e-08,161.87186218813542,5.259777792967668,2056518.935744988
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,61125647.39652,4.7950249775903785e-08,159.3590308968956,5.188838263571484,2067053.4642957838
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,61768841.74482958,2.6367645513379573e-08,156.89031351631155,5.080373972172117,2093390.4840976626
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,62416793.52036275,1.4343499699946452e-08,154.51638325741067,4.92247458924277,2143173.1771342475
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,63076643.25175257,7.687727039363163e-09,152.2370678163333,4.701081772590449,2227157.912963182
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,63758671.66312236,4.038353066558606e-09,150.02047147741763,4.401086172497117,2361976.0213091816
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,64477993.59733752,2.064749618322698e-09,147.83354758415663,4.010246546543126,2574589.924503195
H2_atmosphere_10_M_earth_1_F_earth.csv,H2,10_M,1_F,118500600.0,5.9720425295e+25,5.967266408421263e+25,65257524.04103637,1.019039250894538e-09,145.7407656682021,3.5288098680508395,2909051.797762695
