Filename,Element,Planet mass,Earth Flux,r_min [m],r_cap [m],r_gi [m],rho_0 [kg/m^3],Cap mass [kg],Effective scale height [m],Atmospheric mass [kg],Radius impactor [m],Planetesimal mass loss [kg]
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,194513.93654045078,2.2185512124663482e+26,1197084.938307009,1.8777389345156227e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,192579.53962105387,2.2185512124663482e+26,1218503.8437280883,1.9514966554285905e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,190978.94119335042,2.2185512124663482e+26,1239922.7491491674,2.0265623884171706e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,189773.7167349185,2.2185512124663482e+26,1261341.6545702468,2.1029361334813658e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,189025.10169686333,2.2185512124663482e+26,1282760.559991326,2.180617890621173e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,189022.2586927091,2.2185512124663482e+26,1304179.4654124053,2.2596076598365945e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,190290.99285240474,2.2185512124663482e+26,1325598.3708334845,2.3399054411276288e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,193265.38217792922,2.2185512124663482e+26,1347017.2762545638,2.4215112344942774e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,199588.79321437402,2.2185512124663482e+26,1368436.1816756432,2.50442503993654e+21
N2_atmosphere_10_M_earth_1_F_earth.csv,N2,10_M,1_F,340328.72146383877,5242203.772124128,21737815.237122018,537.1242897078484,5.3496870874683604e+22,211728.38483476648,2.2185512124663482e+26,1389855.0870967223,2.588646857454415e+21
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,2047629.397585212,2.1936755731333893e+26,331348.92135866696,0.0
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,1627560.016980639,2.1936755731333893e+26,352660.8735476125,2.0232974047210926e+19
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,1309246.7947448937,2.1936755731333893e+26,373972.825736558,4.172676096214811e+19
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,1060102.9297588204,2.1936755731333893e+26,395284.77792550356,6.448136074481166e+19
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,862514.3000499428,2.1936755731333893e+26,416596.73011444905,8.849677339520143e+19
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,701665.4667726596,2.1936755731333893e+26,437908.6823033946,1.137729989133176e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,568987.6948027201,2.1936755731333893e+26,459220.63449234015,1.4031003729916007e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,459584.6042272191,2.1936755731333893e+26,480532.58668128564,1.681078885527288e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,370124.1288495452,2.1936755731333893e+26,501844.5388702312,1.9716655267402387e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,312874.2502967607,2.1936755731333893e+26,523156.49105917674,2.2748602966304526e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,294657.2879712365,2.1936755731333893e+26,544468.4432481222,2.590663195197929e+20
N2_atmosphere_10_M_earth_1000_F_earth.csv,N2,10_M,1000_F,331348.92135866696,5144950.839210372,21621989.15811525,520.1371815505709,5.017068153200679e+22,288035.83599640464,2.1936755731333893e+26,565780.3954370678,2.9190742224426693e+20
