SEQ='O '     NUCCHG= 8                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  16323956.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    31713.4 
     3          2S2 2P3             (2)1( 2.5)    43680.5 

   LS RESOLVED TERM INDEXING            BWNR=  16421397.0   NTRM= 501
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   158     2    2S2 2P3 5F1         (1)2( 2.0)   124764.2*
   159     2    2S2 2P3 5F1         (3)1( 4.0)   124764.3*
   160     2    2S2 2P3 5F1         (1)4( 4.0)   124764.3*
   161     2    2S2 2P3 5F1         (1)3( 3.0)   124764.3*
   162     2    2S2 2P3 5D1         (1)3( 3.0)   124769.1*
   163     2    2S2 2P3 6P1         (3)2( 7.0)   125053.4*
   164     2    2S2 2P3 6P1         (1)1( 1.0)   125072.3*
   165     2    2S2 2P3 6P1         (3)3(10.0)   125082.8*
   166     2    2S2 2P3 6P1         (1)3( 3.0)   125121.9*
   167     2    2S2 2P3 6P1         (3)1( 4.0)   125477.4*
   168     2    2S2 2P3 6P1         (1)2( 2.0)   125877.3*
   169     2    2S2 2P3 7S1         (3)2( 7.0)   125906.2*
   170     2    2S2 2P3 7S1         (1)2( 2.0)   125957.3*
   171     2    2S2 2P3 6G1         (3)2( 7.0)   126083.4*
   172     2    2S2 2P3 6G1         (1)2( 2.0)   126083.4*
   173     2    2S2 2P3 6G1         (3)3(10.0)   126083.4*
   174     2    2S2 2P3 6G1         (1)3( 3.0)   126083.4*
   175     2    2S2 2P3 6G1         (3)4(13.0)   126083.4*
   176     2    2S2 2P3 6G1         (1)4( 4.0)   126083.4*
   177     2    2S2 2P3 6G1         (3)5(16.0)   126083.4*
   178     2    2S2 2P3 6G1         (1)5( 5.0)   126083.4*
   179     2    2S2 2P3 6G1         (3)6(19.0)   126083.4*
   180     2    2S2 2P3 6G1         (1)6( 6.0)   126083.4*
   181     2    2S2 2P3 6D1         (1)0( 0.0)   126090.3*
   182     2    2S2 2P3 6D1         (3)3(10.0)   126090.9*
   183     2    2S2 2P3 6D1         (3)4(13.0)   126092.2*
   184     2    2S2 2P3 6D1         (1)4( 4.0)   126093.5*
   185     2    2S2 2P3 6H1         (3)3(10.0)   126094.1*
   186     2    2S2 2P3 6H1         (1)3( 3.0)   126094.1*
   187     2    2S2 2P3 6H1         (3)4(13.0)   126094.1*
   188     2    2S2 2P3 6H1         (1)4( 4.0)   126094.1*
   189     2    2S2 2P3 6H1         (3)5(16.0)   126094.1*
   190     2    2S2 2P3 6H1         (1)5( 5.0)   126094.1*
   191     2    2S2 2P3 6H1         (3)6(19.0)   126094.1*
   192     2    2S2 2P3 6H1         (1)6( 6.0)   126094.1*
   193     2    2S2 2P3 6H1         (3)7(22.0)   126094.1*
   194     2    2S2 2P3 6H1         (1)7( 7.0)   126094.1*
   195     2    2S2 2P3 6D1         (3)2( 7.0)   126094.7*
   196     2    2S2 2P3 6D1         (1)1( 1.0)   126096.7*
   197     2    2S2 2P3 6D1         (3)1( 4.0)   126099.5*
   198     2    2S2 2P3 6D1         (3)0( 1.0)   126102.6*
   199     2    2S2 2P3 6F1         (3)4(13.0)   126105.4*
   200     2    2S2 2P3 6F1         (3)5(16.0)   126105.5*
   201     2    2S2 2P3 6F1         (3)3(10.0)   126105.5*
   202     2    2S2 2P3 6F1         (1)1( 1.0)   126105.5*
   203     2    2S2 2P3 6F1         (1)5( 5.0)   126105.5*
   204     2    2S2 2P3 6D1         (1)2( 2.0)   126105.5*
   205     2    2S2 2P3 6F1         (3)2( 7.0)   126105.5*
   206     2    2S2 2P3 6F1         (1)2( 2.0)   126105.5*
   207     2    2S2 2P3 6F1         (3)1( 4.0)   126105.5*
   208     2    2S2 2P3 6F1         (1)4( 4.0)   126105.6*
   209     2    2S2 2P3 6F1         (1)3( 3.0)   126105.6*
   210     2    2S2 2P3 6D1         (1)3( 3.0)   126108.5*
   211     2    2S2 2P3 7P1         (3)2( 7.0)   126276.1*
   212     2    2S2 2P3 7P1         (1)1( 1.0)   126287.4*
   213     2    2S2 2P3 7P1         (3)3(10.0)   126293.5*
   214     2    2S2 2P3 7P1         (1)3( 3.0)   126316.7*
   215     2    2S2 2P3 7P1         (3)1( 4.0)   126526.3*
   216     2    2S2 2P3 7P1         (1)2( 2.0)   126765.7*
   217     2    2S2 2P3 8S1         (3)2( 7.0)   126790.0*
   218     2    2S2 2P3 8S1         (1)2( 2.0)   126821.8*
   219     2    2S2 2P3 7G1         (3)2( 7.0)   126900.3*
   220     2    2S2 2P3 7G1         (1)2( 2.0)   126900.3*
   221     2    2S2 2P3 7G1         (3)3(10.0)   126900.3*
   222     2    2S2 2P3 7G1         (1)3( 3.0)   126900.3*
   223     2    2S2 2P3 7G1         (3)4(13.0)   126900.3*
   224     2    2S2 2P3 7G1         (1)4( 4.0)   126900.3*
   225     2    2S2 2P3 7G1         (3)5(16.0)   126900.3*
   226     2    2S2 2P3 7G1         (1)5( 5.0)   126900.3*
   227     2    2S2 2P3 7G1         (3)6(19.0)   126900.3*
   228     2    2S2 2P3 7G1         (1)6( 6.0)   126900.3*
   229     2    2S2 2P3 7D1         (1)0( 0.0)   126904.3*
   230     2    2S2 2P3 7D1         (3)3(10.0)   126904.7*
   231     2    2S2 2P3 7D1         (3)4(13.0)   126905.6*
   232     2    2S2 2P3 7D1         (1)4( 4.0)   126906.4*
   233     2    2S2 2P3 7H1         (3)3(10.0)   126907.1*
   234     2    2S2 2P3 7H1         (1)3( 3.0)   126907.1*
   235     2    2S2 2P3 7H1         (3)4(13.0)   126907.1*
   236     2    2S2 2P3 7H1         (1)4( 4.0)   126907.1*
   237     2    2S2 2P3 7H1         (3)5(16.0)   126907.1*
   238     2    2S2 2P3 7H1         (1)5( 5.0)   126907.1*
   239     2    2S2 2P3 7H1         (3)6(19.0)   126907.1*
   240     2    2S2 2P3 7H1         (1)6( 6.0)   126907.1*
   241     2    2S2 2P3 7H1         (3)7(22.0)   126907.1*
   242     2    2S2 2P3 7H1         (1)7( 7.0)   126907.1*
   243     2    2S2 2P3 7D1         (3)2( 7.0)   126907.2*
   244     2    2S2 2P3 7D1         (1)1( 1.0)   126908.5*
   245     2    2S2 2P3 7I1         (3)4(13.0)   126910.1*
   246     2    2S2 2P3 7I1         (1)4( 4.0)   126910.1*
   247     2    2S2 2P3 7I1         (3)5(16.0)   126910.1*
   248     2    2S2 2P3 7I1         (1)5( 5.0)   126910.1*
   249     2    2S2 2P3 7I1         (3)6(19.0)   126910.1*
   250     2    2S2 2P3 7I1         (1)6( 6.0)   126910.1*
   251     2    2S2 2P3 7I1         (3)7(22.0)   126910.1*
   252     2    2S2 2P3 7I1         (1)7( 7.0)   126910.1*
   253     2    2S2 2P3 7I1         (3)8(25.0)   126910.1*
   254     2    2S2 2P3 7I1         (1)8( 8.0)   126910.1*
   255     2    2S2 2P3 7D1         (3)1( 4.0)   126910.3*
   256     2    2S2 2P3 7D1         (3)0( 1.0)   126912.4*
   257     2    2S2 2P3 7F1         (3)4(13.0)   126914.2*
   258     2    2S2 2P3 7F1         (3)5(16.0)   126914.2*
   259     2    2S2 2P3 7F1         (3)3(10.0)   126914.2*
   260     2    2S2 2P3 7F1         (1)1( 1.0)   126914.2*
   261     2    2S2 2P3 7F1         (1)5( 5.0)   126914.2*
   262     2    2S2 2P3 7F1         (3)2( 7.0)   126914.2*
   263     2    2S2 2P3 7D1         (1)2( 2.0)   126914.2*
   264     2    2S2 2P3 7F1         (1)2( 2.0)   126914.2*
   265     2    2S2 2P3 7F1         (3)1( 4.0)   126914.2*
   266     2    2S2 2P3 7F1         (1)4( 4.0)   126914.3*
   267     2    2S2 2P3 7F1         (1)3( 3.0)   126914.3*
   268     2    2S2 2P3 7D1         (1)3( 3.0)   126916.2*
   269     2    2S2 2P3 8P1         (3)2( 7.0)   127023.0*
   270     2    2S2 2P3 8P1         (1)1( 1.0)   127030.3*
   271     2    2S2 2P3 8P1         (3)3(10.0)   127034.1*
   272     2    2S2 2P3 8P1         (1)3( 3.0)   127049.0*
   273     2    2S2 2P3 8P1         (3)1( 4.0)   127183.0*
   274     3    2S2 2P3 4S1         (3)1( 4.0)   127190.8*
   275     2    2S2 2P3 8P1         (1)2( 2.0)   127337.3*
   276     2    2S2 2P3 8G1         (3)2( 7.0)   127429.8*
   277     2    2S2 2P3 8G1         (1)2( 2.0)   127429.8*
   278     2    2S2 2P3 8G1         (3)3(10.0)   127429.8*
   279     2    2S2 2P3 8G1         (1)3( 3.0)   127429.8*
   280     2    2S2 2P3 8G1         (3)4(13.0)   127429.8*
   281     2    2S2 2P3 8G1         (1)4( 4.0)   127429.8*
   282     2    2S2 2P3 8G1         (3)5(16.0)   127429.8*
   283     2    2S2 2P3 8G1         (1)5( 5.0)   127429.8*
   284     2    2S2 2P3 8G1         (3)6(19.0)   127429.8*
   285     2    2S2 2P3 8G1         (1)6( 6.0)   127429.8*
   286     2    2S2 2P3 8D1         (1)0( 0.0)   127432.4*
   287     2    2S2 2P3 8D1         (3)3(10.0)   127432.6*
   288     2    2S2 2P3 8D1         (3)4(13.0)   127433.2*
   289     2    2S2 2P3 8D1         (1)4( 4.0)   127433.8*
   290     2    2S2 2P3 8D1         (3)2( 7.0)   127434.3*
   291     2    2S2 2P3 8H1         (3)3(10.0)   127434.4*
   292     2    2S2 2P3 8H1         (1)3( 3.0)   127434.4*
   293     2    2S2 2P3 8H1         (3)4(13.0)   127434.4*
   294     2    2S2 2P3 8H1         (1)4( 4.0)   127434.4*
   295     2    2S2 2P3 8H1         (3)5(16.0)   127434.4*
   296     2    2S2 2P3 8H1         (1)5( 5.0)   127434.4*
   297     2    2S2 2P3 8H1         (3)6(19.0)   127434.4*
   298     2    2S2 2P3 8H1         (1)6( 6.0)   127434.4*
   299     2    2S2 2P3 8H1         (3)7(22.0)   127434.4*
   300     2    2S2 2P3 8H1         (1)7( 7.0)   127434.4*
   301     2    2S2 2P3 8D1         (1)1( 1.0)   127435.2*
   302     2    2S2 2P3 8I1         (3)4(13.0)   127436.4*
   303     2    2S2 2P3 8I1         (1)4( 4.0)   127436.4*
   304     2    2S2 2P3 8I1         (3)5(16.0)   127436.4*
   305     2    2S2 2P3 8I1         (1)5( 5.0)   127436.4*
   306     2    2S2 2P3 8I1         (3)6(19.0)   127436.4*
   307     2    2S2 2P3 8I1         (1)6( 6.0)   127436.4*
   308     2    2S2 2P3 8I1         (3)7(22.0)   127436.4*
   309     2    2S2 2P3 8I1         (1)7( 7.0)   127436.4*
   310     2    2S2 2P3 8I1         (3)8(25.0)   127436.4*
   311     2    2S2 2P3 8I1         (1)8( 8.0)   127436.4*
   312     2    2S2 2P3 8D1         (3)1( 4.0)   127436.5*
   313     2    2S2 2P3 8J1         (3)5(16.0)   127437.4*
   314     2    2S2 2P3 8J1         (1)5( 5.0)   127437.4*
   315     2    2S2 2P3 8J1         (3)6(19.0)   127437.4*
   316     2    2S2 2P3 8J1         (1)6( 6.0)   127437.4*
   317     2    2S2 2P3 8J1         (3)7(22.0)   127437.4*
   318     2    2S2 2P3 8J1         (1)7( 7.0)   127437.4*
   319     2    2S2 2P3 8J1         (3)8(25.0)   127437.4*
   320     2    2S2 2P3 8J1         (1)8( 8.0)   127437.4*
   321     2    2S2 2P3 8J1         (3)9(28.0)   127437.4*
   322     2    2S2 2P3 8J1         (1)9( 9.0)   127437.4*
   323     2    2S2 2P3 8D1         (3)0( 1.0)   127437.9*
   324     2    2S2 2P3 8F1         (3)4(13.0)   127439.1*
   325     2    2S2 2P3 8F1         (3)5(16.0)   127439.1*
   326     2    2S2 2P3 8F1         (3)3(10.0)   127439.1*
   327     2    2S2 2P3 8F1         (1)1( 1.0)   127439.1*
   328     2    2S2 2P3 8F1         (1)5( 5.0)   127439.1*
   329     2    2S2 2P3 8F1         (3)2( 7.0)   127439.1*
   330     2    2S2 2P3 8D1         (1)2( 2.0)   127439.1*
   331     2    2S2 2P3 8F1         (1)2( 2.0)   127439.1*
   332     2    2S2 2P3 8F1         (3)1( 4.0)   127439.1*
   333     2    2S2 2P3 8F1         (1)4( 4.0)   127439.2*
   334     2    2S2 2P3 8F1         (1)3( 3.0)   127439.2*
   335     2    2S2 2P3 8D1         (1)3( 3.0)   127440.5*
   336     3    2S2 2P3 4S1         (1)1( 1.0)   127637.0*
   337     3    2S2 2P3 3D1         (3)3(10.0)   128861.4*
   338     3    2S2 2P3 3D1         (3)1( 4.0)   128868.9*
   339     3    2S2 2P3 3D1         (1)2( 2.0)   128878.5*
   340     3    2S2 2P3 3D1         (3)2( 7.0)   128891.0*
   341     3    2S2 2P3 3D1         (1)3( 3.0)   128905.8*
   342     3    2S2 2P3 3D1         (1)1( 1.0)   128950.7*
   343     3    2S2 2P3 4P1         (3)0( 1.0)   130092.7*
   344     3    2S2 2P3 4P1         (3)2( 7.0)   130229.9*
