SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   169     1    2S2 2P2 8D1         (4)2( 9.5)   106278.6 
   170     1    2S2 2P2 8J1         (4)6(25.5)   106278.8 
   171     1    2S2 2P2 8J1         (2)6(12.5)   106278.8 
   172     1    2S2 2P2 8J1         (4)7(29.5)   106278.8 
   173     1    2S2 2P2 8J1         (2)7(14.5)   106278.8 
   174     1    2S2 2P2 8J1         (4)8(33.5)   106278.8 
   175     1    2S2 2P2 8J1         (2)8(16.5)   106278.8 
   176     1    2S2 2P2 8F1         (4)4(17.5)   106278.9 
   177     1    2S2 2P2 8F1         (2)4( 8.5)   106279.0 
   178     1    2S2 2P2 8F1         (4)3(13.5)   106284.0 
   179     1    2S2 2P2 8F1         (2)3( 6.5)   106284.1 
   180     1    2S2 2P2 8D1         (2)2( 4.5)   106291.4 
   181     2    2S2 2P2 3P1         (2)1( 2.5)   107764.2 
   182     3    2S2 2P2 3S1         (2)0( 0.5)   108679.9*
   183     2    2S2 2P2 3P1         (2)2( 4.5)   109488.6*
   184     2    2S2 2P2 4S1         (2)2( 4.5)   112651.4*
   185     2    2S2 2P2 3D1         (2)3( 6.5)   113474.1*
   186     2    2S2 2P2 3D1         (2)2( 4.5)   113618.9*
   187     2    2S2 2P2 3D1         (2)4( 8.5)   113760.6*
   188     2    2S2 2P2 3D1         (2)1( 2.5)   113899.3*
   189     4    2S1 2P3 3S1         (6)0( 2.5)   114012.7*
   190     2    2S2 2P2 3D1         (2)0( 0.5)   114088.8*
   191     2    2S2 2P2 4P1         (2)3( 6.5)   115191.7*
   192     2    2S2 2P2 4P1         (2)1( 2.5)   116574.7*
   193     2    2S2 2P2 4P1         (2)2( 4.5)   116853.1*
   194     2    2S2 2P2 5S1         (2)2( 4.5)   118653.7*
   195     2    2S2 2P2 4D1         (2)3( 6.5)   118965.0*
   196     2    2S2 2P2 4D1         (2)2( 4.5)   119028.3*
   197     2    2S2 2P2 4F1         (2)4( 8.5)   119062.8*
   198     2    2S2 2P2 4F1         (2)3( 6.5)   119070.8*
   199     2    2S2 2P2 4D1         (2)4( 8.5)   119076.7*
   200     2    2S2 2P2 4F1         (2)2( 4.5)   119105.4*
   201     2    2S2 2P2 4F1         (2)5(10.5)   119113.4*
   202     2    2S2 2P2 4F1         (2)1( 2.5)   119141.9*
   203     2    2S2 2P2 4D1         (2)1( 2.5)   119142.7*
   204     2    2S2 2P2 4D1         (2)0( 0.5)   119220.6*
   205     2    2S2 2P2 5P1         (2)3( 6.5)   119742.9*
   206     2    2S2 2P2 5P1         (2)1( 2.5)   120314.0*
   207     2    2S2 2P2 5P1         (2)2( 4.5)   120416.3*
   208     3    2S2 2P2 3P1         (2)1( 2.5)   120481.2*
   209     4    2S1 2P3 3S1         (4)0( 1.5)   121201.1*
   210     2    2S2 2P2 6S1         (2)2( 4.5)   121343.7*
   211     2    2S2 2P2 5D1         (2)3( 6.5)   121494.8*
   212     2    2S2 2P2 5D1         (2)2( 4.5)   121527.6*
   213     2    2S2 2P2 5G1         (2)2( 4.5)   121529.2*
   214     2    2S2 2P2 5G1         (2)3( 6.5)   121529.2*
   215     2    2S2 2P2 5G1         (2)4( 8.5)   121529.2*
   216     2    2S2 2P2 5G1         (2)5(10.5)   121529.2*
   217     2    2S2 2P2 5G1         (2)6(12.5)   121529.2*
