SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   196     2    2S1 2P2 4P1         (5)2(12.0)   112877.3*
   197     2    2S1 2P2 4P1         (5)1( 7.0)   113030.5*
   198     2    2S1 2P2 3P1         (5)0( 2.0)   113187.6*
   199     2    2S1 2P2 4P1         (3)0( 1.0)   113634.4*
   200     2    2S1 2P2 4P1         (3)2( 7.0)   115736.6*
   201     2    2S1 2P2 4P1         (3)1( 4.0)   116210.3*
   202     2    2S1 2P2 5S1         (5)1( 7.0)   116779.8*
   203     2    2S1 2P2 4D1         (5)3(17.0)   116953.2*
   204     2    2S1 2P2 4D1         (3)1( 4.0)   116973.5*
   205     2    2S1 2P2 4D1         (5)1( 7.0)   116973.8*
   206     2    2S1 2P2 4P1         (5)0( 2.0)   117089.7*
   207     2    2S1 2P2 4F1         (5)2(12.0)   117090.1*
   208     2    2S1 2P2 4F1         (3)2( 7.0)   117090.4*
   209     2    2S1 2P2 4D1         (5)2(12.0)   117098.0*
   210     2    2S1 2P2 4D1         (3)3(10.0)   117102.8*
   211     2    2S1 2P2 4F1         (5)4(22.0)   117110.8*
   212     2    2S1 2P2 4F1         (3)4(13.0)   117111.9*
   213     2    2S1 2P2 4F1         (5)3(17.0)   117171.7*
   214     2    2S1 2P2 4F1         (3)3(10.0)   117173.0*
   215     2    2S1 2P2 4D1         (3)2( 7.0)   117275.4*
   216     2    2S1 2P2 5S1         (3)1( 4.0)   117574.7*
   217     2    2S1 2P2 5P1         (5)2(12.0)   117625.4*
   218     2    2S1 2P2 5P1         (5)1( 7.0)   117694.2*
   219     2    2S1 2P2 5P1         (3)0( 1.0)   117967.9*
   220     2    2S1 2P2 5P1         (3)2( 7.0)   118922.3*
   221     2    2S1 2P2 5P1         (3)1( 4.0)   119135.2*
   222     2    2S1 2P2 6S1         (5)1( 7.0)   119423.3*
   223     2    2S1 2P2 5P1         (5)0( 2.0)   119478.6*
   224     2    2S1 2P2 5D1         (5)3(17.0)   119499.4*
