specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
H2,1_F_earth,10_M_earth,3000,47968682.15264607,183680.7863638837,24412.650608271804,15479.853539783133,120479688383.6134,461338584.052742
H2,1_F_earth,10_M_earth,4000,92544610.155412,354370.1015798586,21298.831196342733,13567.12908202055,131762679202.91792,504543202.8419621
H2,1_F_earth,10_M_earth,5000,158410538.46661708,606582.6903745672,19225.856119554453,12018.988836848304,143019935830.96616,547649280.7442073
H2,1_F_earth,10_M_earth,6000,249222849.68137693,954319.5050397716,17456.97132136079,11044.220949884211,154285938766.4096,590788849.8442076
H2,1_F_earth,10_M_earth,7000,367783853.7928826,1408311.0989299873,16191.82609643249,0,165544779990.95886,633900995.4539281
H2,1000_F_earth,1_M_earth,200,150864.0459703992,15596.111719926048,0,0,537116074949.38,55526300236.719925
H2,1000_F_earth,1_M_earth,300,196783.97138135176,20343.248668781373,0,0,542417239958.2427,56074327178.40897
H2,1000_F_earth,1_M_earth,500,311342.00796520564,32186.09648241956,0,0,552867364544.8674,57154646279.56915
H2,1000_F_earth,1_M_earth,1000,762793.1593022033,78856.4780637444,0,0,582939472716.2703,60263458294.24184
H2,1000_F_earth,1_M_earth,2000,2477366.9473009664,256106.69151044104,0,0,628963616773.4796,65021369219.36078
H2,1000_F_earth,1_M_earth,3000,5470897.522630601,565573.6489259669,0,0,664486085508.3005,68693631801.1594
H2,1000_F_earth,1_M_earth,4000,9858197.084935728,1019126.4731417452,0,0,692269418755.7574,71565833500.98854
H2,1000_F_earth,1_M_earth,5000,16022014.3002896,1656333.17997184,0,0,720079222710.2035,74440771705.07106
H2,1000_F_earth,1_M_earth,6000,23916462.97232732,2472450.1193284807,0,0,743879330272.3239,76901193166.64258
H2,1000_F_earth,1_M_earth,7000,33447239.59881317,3457728.328514907,0,0,763566935731.3173,78936469976.70868
